magnitude,depth_km,latitude,longitude,energy_release_joules,shaking_intensity,impact_level,tsunami_risk,damage_level
5.2472407130841745,276.151228673932,-22.744652675994274,-0.11871225754074999,4686634331951.381,3.1576027938077478,Light,Low,Minor
8.704285838459498,331.93152590313997,-30.075822678347407,88.82883810453393,7.185032843684947e+17,4.7775901768812155,Strong,Low,Extreme
7.391963650868431,598.328627848324,-58.29229574948519,22.560041036279927,7725835846509335.0,3.0219684872270514,Strong,Low,Severe
6.59195090518222,238.6630658558646,19.308000618267826,-150.0110700797533,487445828127973.3,4.266987362189284,Moderate,Low,Severe
3.9361118426546193,608.8851296837078,-4.207651108446797,-113.19111475792006,50602009518.32735,1.5951434551640231,Minor,Low,None
3.9359671220172157,62.60596725270735,65.82617861832065,-101.04185374886912,50576722557.11283,4.974433130292907,Minor,Low,None
3.3485016730091965,543.9821076088328,-84.22027551322951,-87.16886868785583,6648941463.85521,1.4356818584583437,Minor,Low,None
8.197056874649611,593.4357955052607,25.896226959922743,23.54522110218153,1.2461930129917882e+17,3.364891607134636,Strong,Low,Extreme
6.606690070459253,128.09053933329977,47.330798132081014,1.4276807371416567,512902842219907.6,5.837480015177392,Moderate,Low,Severe
7.248435466776273,301.8122261281681,46.70758245389527,-106.86238618888478,4706013841063518.0,4.17230321380311,Strong,Low,Severe
3.1235069657748147,116.68434248989527,69.49331407719453,-155.68025635595265,3056753714.7698703,2.891586491111522,Minor,Low,None
8.819459112971966,494.91628616695823,41.226073709308935,-118.28440638910149,1.0695194069357865e+18,3.9643873211399256,Strong,Low,Extreme
7.99465584480253,375.20808987509804,77.00581109658535,174.3772725426972,6.194179224160089e+16,4.127277558663817,Strong,Low,Extreme
4.2740346640696565,445.0910193491164,-30.12181203223954,-11.323098075069993,162574338696.59402,2.0258795678594668,Light,Low,None
4.090949803242603,138.34438990239158,0.5776950152777545,132.2443816927605,86382288374.06845,3.478110491558869,Light,Low,None
4.100427059120603,149.01035757464123,-87.46566060907968,125.55088800078357,89256651213.69666,3.359083985066475,Light,Low,None
4.825453457757226,30.006630531424552,-88.74763428540759,4.14704068663454,1091893263606.5442,8.809058938097705,Light,Low,Minor
6.148538589793427,226.12520710181508,-46.77720831872642,74.40757504579565,105392057900273.06,4.0888145587407045,Moderate,Low,Moderate
5.591670111852695,392.2615182722388,-71.85470451496465,-110.60927625142358,15399448501407.531,2.8232782941588077,Light,Low,Moderate
4.747374841188251,600.6965048841329,-43.16195377156435,67.82281377368699,833800712266.3481,1.9369837236705103,Light,Low,Minor
6.671117368334277,467.1822857736178,-58.13220698488847,-81.94155146521578,640731466003369.5,3.086422653259229,Moderate,Low,Severe
